Hour,g1,g2,g3,r1,r2,r3
0,0.13120570152990071,1.3178787573059014,0.3721032512795224,0.13120570152990071,1.3178787573059014,0.3721032512795224
1,0.15616118423853392,1.2719737662930506,0.3964819792378346,0.15616118423853392,1.2719737662930506,0.3964819792378346
2,0.15327707309700186,1.4493901538220997,0.38372474216219643,0.15327707309700186,1.4493901538220997,0.38372474216219643
3,0.1098393683055916,1.1182419990721109,0.2983034919376287,0.1098393683055916,1.1182419990721109,0.2983034919376287
4,0.10658941256640779,0.9837688745848692,0.28842008427427873,0.10658941256640779,0.9837688745848692,0.28842008427427873
5,0.09788618936868418,0.964145001256123,0.2441106796931725,0.09788618936868418,0.964145001256123,0.2441106796931725
6,0.11828530558041982,1.0047371793064641,0.315093714508132,0.11828530558041982,1.0047371793064641,0.315093714508132
7,0.0955511249646,1.0102382788368762,0.2825013657226755,0.0955511249646,1.0102382788368762,0.2825013657226755
8,0.103958965159151,1.12045396672605,0.3046324011245131,0.103958965159151,1.12045396672605,0.3046324011245131
9,0.11362746234078426,1.1320945085074023,0.2890390733377275,0.11362746234078426,1.1320945085074023,0.2890390733377275
10,0.11730869334289529,1.236268324490343,0.3259466429563672,0.11730869334289529,1.236268324490343,0.3259466429563672
11,0.08760231491685266,1.0728746154832036,0.2706240892461149,0.08760231491685266,1.0728746154832036,0.2706240892461149
12,0.15407022355939243,1.252461898554949,0.3755817522030762,0.15407022355939243,1.252461898554949,0.3755817522030762
13,0.13943154854189405,1.26904630694232,0.3757866541793353,0.13943154854189405,1.26904630694232,0.3757866541793353
14,0.18803991669898956,1.4131367108666535,0.4576298566191361,0.18803991669898956,1.4131367108666535,0.4576298566191361
15,0.15094004374181264,1.471630350149124,0.40106241498179407,0.15094004374181264,1.471630350149124,0.40106241498179407
16,0.12918293955297425,1.294248429202864,0.37331969648785107,0.12918293955297425,1.294248429202864,0.37331969648785107
17,0.18238101704351606,1.382048650846112,0.42892880664811717,0.18238101704351606,1.382048650846112,0.42892880664811717
18,0.21229345814606254,1.4906069093393843,0.45623234470406077,0.21229345814606254,1.4906069093393843,0.45623234470406077
19,0.13823919521063147,1.0972548631658476,0.3163190314903166,0.13823919521063147,1.0972548631658476,0.3163190314903166
20,0.12017367118859132,1.1700183436622837,0.32114318741329645,0.12017367118859132,1.1700183436622837,0.32114318741329645
21,0.10860036663432722,1.1498945577713324,0.3205244140603145,0.10860036663432722,1.1498945577713324,0.3205244140603145
22,0.11954919114439494,1.2214040174235334,0.3563240310748992,0.11954919114439494,1.2214040174235334,0.3563240310748992
23,0.16434409549420717,1.304658825396806,0.39231963051111196,0.16434409549420717,1.304658825396806,0.39231963051111196
